"category";"front";"back";"example"
"phrasal verb";"accept a partner or spouse again after a separation.";"take back";"most people decide not to take a cheating partner back"
"phrasal verb";"accept an opportunity or offer with great eagerness.";"jump at";"I'd jump at the chance of a career in football"
"phrasal verb";"access a computer system or service remotely via a phone line.";"dial up";"dialling up each time we want to use the internet will become a thing of the past"
"phrasal verb";"achieve a state or position easily or undeservedly.";"walk into";"no one has the right to walk straight into a well-paid job for life"
"phrasal verb";"act in accordance with someone's ideas or suggestions; agree to something.";"fall in with";"Rob was happy to fall in with her plans"
"phrasal verb";"address someone in a hectoring or self-important way without listening to their replies.";"talk at";"he never talked at you"
"phrasal verb";"adjust the control on an electrical device so as to increase the level of sound, light, heat, etc. produced.";"dial up";"even with everything dialled up to full, the audio output level was only moderate at best"
"phrasal verb";"allow past actions or circumstances to have a negative influence on one's present attitude towards someone.";"hold against";"he knew that if he failed her, she would hold it against him forever"
"phrasal verb";"annoy or infuriate someone.";"hack off";"it really hacks me off when they whine about what a poor job we're doing"
"phrasal verb";"apply to or have relevance for someone or something.";"go for";"the same goes for money-grabbing lawyers"
"phrasal verb";"approve something by general agreement, without discussion.";"nod through";"the notion of nodding through this item without discussion is very unusual"
"phrasal verb";"arrive at a destination.";"get in";"the train got in late"
"phrasal verb";"arrive.";"be along";"she'll be along soon"
"phrasal verb";"arrive.";"come along";"a chance like this doesn't come along every day"
"phrasal verb";"arrive.";"come along";"a chance like this doesn't come along every day"
"phrasal verb";"associate with someone.";"hang around";"he never hangs around with that gang"
"phrasal verb";"assume control of something.";"take over";"in 1938 the Nazis took over"
"phrasal verb";"attack someone or something verbally or physically.";"lace into";"Brady laced into his teammates for playing with a lack of passion"
"phrasal verb";"attempt to gain or attain.";"go for";"he went for a job as a delivery driver"
"phrasal verb";"attend to or deal with something.";"see about";"he had gone to see about a job he had heard of"
"phrasal verb";"attend to or deal with something.";"see to";"he used to see to all the music and the arrangements"
"phrasal verb";"attribute a meaning or significance to something that it may not in fact possess.";"read into";"was I reading too much into his behaviour?"
"phrasal verb";"avoid encroaching on or touching something.";"keep off";"the campus is dotted with warnings to keep off the grass"
"phrasal verb";"avoid leaving a path, road, or place.";"keep to";"I didn't have his faith in the traffic, so I kept to the edge of the kerb"
"phrasal verb";"await something eagerly.";"look forward to";"we look forward to seeing you"
"phrasal verb";"be accepted as or taken for a particular kind of person or thing.";"pass for";"he could pass for a native of Sweden"
"phrasal verb";"be aware of or know of the existence of someone or something.";"hear of";"nobody had ever heard of my college"
"phrasal verb";"be captivated by or fall in love with someone.";"fall for";"she fell for a handsome younger man"
"phrasal verb";"be classified as or among something.";"come under";"they all come under the general heading of opinion polls"
"phrasal verb";"be converted to another person's opinion.";"come round";"I came round to her point of view"
"phrasal verb";"be dealt with by a judge or court.";"come before";"it is the most controversial issue to come before the Supreme Court"
"phrasal verb";"be deceived by something.";"fall for";"he didn't expect Duncan to fall for a cheap trick like that"
"phrasal verb";"be determined to harm or cause trouble for (someone).";"have it in for";"she's had it in for me ever since our quarrel"
"phrasal verb";"be drawn accidentally into a course of action or way of behaving.";"fall into";"you must not fall into this common error"
"phrasal verb";"be eminently suited for a particular function.";"make for";"he was a man made for action"
"phrasal verb";"be excited or aroused by something.";"get off";"he was obviously getting off on the adrenaline of performing before the crowd"
"phrasal verb";"be known or called by a specified name.";"go by";"he goes by the name of Crawford"
"phrasal verb";"be known or called by a specified name.";"go under";"he now goes under the name Charles Perez"
"phrasal verb";"be overwhelmed with a very large quantity of something, especially work.";"snow under";"he's been snowed under with urgent cases"
"phrasal verb";"be promoted to a more senior position on a temporary basis.";"act up";"she has been acting up as a consultant in public health"
"phrasal verb";"be subject to an influence or authority.";"come under";"for a time they came under the rule of the Venetian doges"
"phrasal verb";"be subjected to pressure or aggression.";"come under";"his vehicle came under mortar fire"
"phrasal verb";"be sympathetic to or in harmony with something.";"key into";"the whole team must key into an overall vision"
"phrasal verb";"be told or informed of something.";"hear of";"I was shocked to hear of her death"
"phrasal verb";"beat or attack someone violently.";"lay about";"they weren't against laying about you with sticks and stones"
"phrasal verb";"beat someone up.";"do over";"let's do them over and dump them somewhere"
"phrasal verb";"become covered or blocked with ice.";"ice over";"the wings iced over, forcing the pilot to dive"
"phrasal verb";"become interested in something.";"get into";"I'm really getting into jazz these days"
"phrasal verb";"become involved in something through ignorance or carelessness.";"walk into";"I had walked into a situation from which there was no escape"
"phrasal verb";"become less serious or severe.";"ease off";"the pain doesn't usually ease off for several hours"
"phrasal verb";"become successful in one's life or career.";"get ahead";"I want to get ahead in my career"
"phrasal verb";"begin or fall into the habit of doing something.";"take to";"he took to hiding some secret supplies in his desk"
"phrasal verb";"begin to associate with someone, especially in a way disapproved of by the speaker.";"take up with";"he soon took up with a rough crowd and began to drink, smoke, and gamble"
"phrasal verb";"begin to dislike someone, typically for no strong or obvious reason.";"take against";"from the moment he arrived, they took against him"
"phrasal verb";"behave badly.";"act up";"all children talk back and act up from time to time"
"phrasal verb";"behave in a silly or playful way.";"mess around";"he lay there snoring so I thought he was messing around and told him to get up"
"phrasal verb";"behave in a stupid way; waste time.";"arse around";""
"phrasal verb";"break one's journey.";"lay over";"Steven and I will lay over in New York, then fly to London"
"phrasal verb";"break up, come apart, or disintegrate.";"fall apart";"their marriage is likely to fall apart"
"phrasal verb";"bribe or unfairly influence someone.";"get at";"he had been got at by government officials"
"phrasal verb";"bring people into contact unexpectedly or by chance.";"throw together";"we were just two guys thrown together by circumstance"
"phrasal verb";"bring someone to a particular point of view by talking.";"talk round";"you could never talk him round, he was very decided"
"phrasal verb";"bring something safely out of difficulties.";"carry through";"he was the only person who could carry the country through"
"phrasal verb";"build up a stock of something in case of need.";"lay in";"we laid in a supply of firewood"
"phrasal verb";"call casually and briefly as a visitor.";"come by";"his friends came by"
"phrasal verb";"call someone or something by the same name as another person or thing.";"name after";"Nathaniel was named after his maternal grandfather"
"phrasal verb";"cancel an event or agreement.";"call off";"they held a ballot on whether to call off industrial action"
"phrasal verb";"carry something away illicitly.";"make away with";"he smashed a glass case and made away with a number of items of jewellery"
"phrasal verb";"carry something to a place (used especially with respect to remote campsites).";"pack in";"pack out what you pack in, use campfires sparingly, and put them out completely"
"phrasal verb";"casually or irresponsibly withdraw from a situation in which one is involved or for which one is responsible.";"walk away";"they can walk away from the deal and leave the other person stranded"
"phrasal verb";"catch or gain possession of.";"lay hold of";"he was afraid she might vanish if he did not lay hold of her"
"phrasal verb";"cause a specified response.";"call forth";"few things call forth more compassion"
"phrasal verb";"cause or provoke someone or something to appear or occur.";"call down";"nothing called down the wrath of Nemesis quicker"
"phrasal verb";"cause someone inconvenience or problems, especially by acting unfairly or indecisively.";"jack around";"stop jacking me around and answer my questions"
"phrasal verb";"cause someone problems, especially by acting unfairly or indecisively.";"mess around";"get your own back—make him sorry he ever messed you around!"
"phrasal verb";"cause someone to remain in a state of oppression or subjection.";"keep down";"others doubted the injury would keep him down that long"
"phrasal verb";"cause someone to remain in a state of oppression or subjection.";"keep under";"the local people are kept under by the army"
"phrasal verb";"cause something to remain at a low level.";"keep down";"the population of aphids is normally kept down by other animals"
"phrasal verb";"celebrate or wish for the good fortune of someone or something by raising one's glass and drinking a small amount.";"drink to";"let's drink to the success of our venture"
"phrasal verb";"challenge someone to a duel.";"call out";""
"phrasal verb";"change to a new position, especially to avoid causing an obstruction.";"move along";"‘Move along, move along,’ said the constable"
"phrasal verb";"cheat, swindle, or exploit someone.";"screw over";"I told the company that was trying to screw me over to get lost"
"phrasal verb";"choose to participate in something.";"opt in";"the database would not include a person's name unless he opted in"
"phrasal verb";"come closer to a person or thing pursued.";"gain on";"a huge bear was gaining on him with every stride"
"phrasal verb";"come to nothing; fail.";"fall through";"the project fell through due to lack of money"
"phrasal verb";"communicate something effectively.";"put across";"our group must put across its views and gain popular support"
"phrasal verb";"completely transform or remodel someone or something, especially a person's hairstyle, make-up, or clothes.";"make over";""
"phrasal verb";"confine someone indoors or in a particular place.";"keep in";"he should be kept in overnight for observation"
"phrasal verb";"confront and deal with or accept a difficult or unpleasant task, fact, or situation.";"face up to";"the prime minister needs to face up to the consequences of her policies"
"phrasal verb";"connect up a computer or electronic device.";"jack in";"I jacked my laptop in and connected to the default IP"
"phrasal verb";"continue in a steady, uneventful way.";"jog on";"Phelps's life jogged on in this fashion until spring"
"phrasal verb";"continue to do something.";"keep on";"he kept on moving"
"phrasal verb";"continue to employ someone.";"keep on";"we will keep all of them on and set out to surround them with more experienced players next season"
"phrasal verb";"cope in a more or less satisfactory way despite lack of expertise, planning, or equipment.";"muddle through";"while the children were young, we managed to muddle through"
"phrasal verb";"criticize someone subtly and repeatedly.";"get at";"I hope you didn't think I was getting at you"
"phrasal verb";"damage something by eroding or corroding it.";"eat into";"these liquids can discolour the surface or even eat into the top layer of concrete"
"phrasal verb";"dance energetically.";"get down";"her boyfriend appears out of nowhere and starts to get down on the dance floor"
"phrasal verb";"deal with a task in due course.";"get round to";"I might get round to organizing another trip in the spring"
"phrasal verb";"deceive or mislead someone over a period of time.";"play along";"he'd play her along till she got fed up"
"phrasal verb";"decide on something; choose something.";"go for";"I went for grilled halibut"
"phrasal verb";"declare a legal decision or process to be invalid.";"set aside";"he applied by summons to set aside the notice served on them"
"phrasal verb";"decorate or furnish a room or building.";"do over";"the flat was done over by a local designer"
"phrasal verb";"defeat, ruin, or kill someone or something.";"do for";"without that contract we're done for"
"phrasal verb";"depress or demoralize someone.";"get down";"rainy days always get me down"
"phrasal verb";"detract from something.";"take away from";"I don't want to take away from her victory, but it was a very low turnout"
"phrasal verb";"discard or reject someone or something.";"cast aside";"they cast aside the principles of their youth"
"phrasal verb";"discreetly store or save something, especially money.";"salt away";"they salted the money away in numbered bank accounts around the world"
"phrasal verb";"discuss something thoroughly.";"talk through";"he needed to spend time talking through his feelings"
"phrasal verb";"dismantle and remove a structure.";"take down";"the old Norman church was taken down in 1819"
"phrasal verb";"dismantle something.";"take apart";""
"phrasal verb";"dismiss something as being unimportant or not worth consideration; disregard something.";"brush aside";"he brushed aside attacks on his policies"
"phrasal verb";"draw back from action or confrontation.";"back off";"just back off and leave me alone"
"phrasal verb";"draw critical attention to someone's unacceptable actions or behaviour.";"call out";"people were calling him out for his negative comments"
"phrasal verb";"enable someone to perform a task by giving them continuous instruction.";"talk through";"the two presenters talk you through hanging different types of paper"
"phrasal verb";"end up having a specified negative value or effect.";"go for";"my good intentions went for nothing"
"phrasal verb";"engage in sexual activity casually or with someone other than one's spouse or partner.";"mess around";"I found out he was messing around with my best friend"
"phrasal verb";"enlist someone's aid or services.";"call in";"you can either do the work yourself or call in a local builder to help you"
"phrasal verb";"escape a punishment; be acquitted.";"get off";"she got off lightly"
"phrasal verb";"escape blame, punishment, or undesirable consequences for an act that is wrong.";"get away with";"if he thinks he can get away with cheating me, he's very much mistaken"
"phrasal verb";"escape.";"get away";"Stevie was caught, but the rest of us got away"
"phrasal verb";"escape.";"get away";"Stevie was caught, but the rest of us got away"
"phrasal verb";"exclude a particular fact or circumstance from one's considerations or calculations.";"factor out";"I suspect that if new car sales were factored out, sales in retail stores are actually decreasing"
"phrasal verb";"extend beyond the original area of application.";"carry over";"his artistic practice is clearly carrying over into his social thought"
"phrasal verb";"fail to keep up with one's competitors.";"fall behind";"Britain has fallen behind in the space business"
"phrasal verb";"fail to take something into account.";"reckon without";"they reckoned without her courage and determination"
"phrasal verb";"fasten something securely with nails.";"nail down";""
"phrasal verb";"finish or use up a large amount or number of something, especially within a short time.";"get through";"we got through four whole jars of mustard"
"phrasal verb";"fool about.";"screw around";"I just screw around with sound effects and music"
"phrasal verb";"force someone to retreat.";"beat back";"I tried to get in but was beaten back by the flames"
"phrasal verb";"forget or disregard something, typically a feeling or a past difference of opinion.";"put aside";"the rival firms put aside their differences"
"phrasal verb";"form a liking for someone.";"take to";"Mrs Brady never took to Moran"
"phrasal verb";"get out of a bad or unhappy mood by a sudden effort.";"snap out of";"a strong tug on Flora's arm made her snap out of her daydream"
"phrasal verb";"give a satisfactory record of something, typically money, that one is responsible for.";"account for";"I had to account for every penny I spent"
"phrasal verb";"give a specified amount of attention or importance to something.";"make of";"he makes little of America's low investment rates"
"phrasal verb";"give something to a person in authority for their attention.";"hand in";"we handed in a letter of protest"
"phrasal verb";"give up an activity or job.";"pack in";"I'm packing in the job"
"phrasal verb";"give up or stop doing something, especially a job.";"jack in";"he jacked in his office job"
"phrasal verb";"go away (used as expression of anger or irritation).";"jog on";"I really want to go and see the show but for an £8.75 booking fee they can jog on!"
"phrasal verb";"go away; leave.";"get along";"it's time we were getting along"
"phrasal verb";"go to a place to escape danger or an enemy.";"take to";"they took to the hills"
"phrasal verb";"go to sleep, especially after some difficulty.";"get off";"I eventually got off around midnight"
"phrasal verb";"hand over or provide what is wanted.";"come across";"she has come across with some details"
"phrasal verb";"happen without being noticed or fully experienced by someone.";"pass by";"sometimes I feel that life is passing me by"
"phrasal verb";"have a harmonious or friendly relationship.";"get along";"they seem to get along pretty well"
"phrasal verb";"have a meal at home rather than in a restaurant.";"eat in";""
"phrasal verb";"have many different sexual partners.";"screw around";""
"phrasal verb";"have recourse to something when in difficulty.";"fall back on";"they normally fell back on one of three arguments"
"phrasal verb";"identify something precisely.";"nail down";"something seems unexpected—I can't nail it down, but it makes me uneasy"
"phrasal verb";"imply something.";"get at";"I can see what you're getting at"
"phrasal verb";"incline or be partial to a view or position.";"lean towards";"I now lean towards sabotage as the cause of the crash"
"phrasal verb";"include a particular fact or circumstance in one's considerations or calculations; take something into account.";"factor in";"when the psychological costs are factored in, a different picture will emerge"
"phrasal verb";"inflict trouble or harm on someone similar to that which they have inflicted on oneself.";"get even";"I'll get even with you for this"
"phrasal verb";"inquire about the health or well-being of someone.";"ask after";"if I see him I'll tell him you were asking after him"
"phrasal verb";"launch oneself at someone to attack them.";"come at";"he shot an officer who came at him from behind"
"phrasal verb";"launch oneself at someone; attack someone.";"go for";"she went for him with clawed hands"
"phrasal verb";"leave hurriedly, especially in order to avoid duty or punishment.";"make off";"they made off without paying"
"phrasal verb";"leave the table after a meal.";"get down";"Can I get down please?"
"phrasal verb";"make a lot of money.";"rake in";"the shop's raking it in now"
"phrasal verb";"make a pupil repeat a year at school because of poor marks.";"keep back";"she had been kept back a year"
"phrasal verb";"make a pupil repeat a year at school because of poor marks.";"keep down";"is a child who fails a year test to be kept down?"
"phrasal verb";"make contact by phone.";"get through";"after an hour of busy signals, I finally got through"
"phrasal verb";"make or force a way through a barrier.";"break through";"the crowd tried to break through the gates"
"phrasal verb";"make or produce something hastily, without careful planning or arrangement.";"throw together";"the meal was quickly thrown together at news of Rose's arrival"
"phrasal verb";"make progress; develop.";"come along";"he's coming along nicely"
"phrasal verb";"make progress; develop.";"come along";"he's coming along nicely"
"phrasal verb";"make sense; be consistent.";"hang together";"your story doesn't hang together"
"phrasal verb";"make someone seem distinctive or superior.";"set apart";"his ability and self-effacing modesty have set him apart"
"phrasal verb";"make something necessary.";"call for";"desperate times call for desperate measures"
"phrasal verb";"make use of someone or something as a source of help.";"call on";"we are able to call on academic staff with a wide variety of expertise"
"phrasal verb";"manage to acquire or obtain something.";"come by";"Cameron managed to come by some cheap tickets to Rome"
"phrasal verb";"manage to live or survive.";"get along";"don't worry, we'll get along without you"
"phrasal verb";"manage with difficulty to live or accomplish something.";"get by";"he had just enough money to get by"
"phrasal verb";"manage without something.";"do without";"I could do without food for a day"
"phrasal verb";"masturbate.";"jack off";""
"phrasal verb";"meet or find someone by chance.";"run across";"I just thought you might have run across him before"
"phrasal verb";"meet or find someone or something by chance.";"come across";"I came across these old photos recently"
"phrasal verb";"meet someone by chance and become involved with them.";"fall in with";"he fell in with thieves"
"phrasal verb";"move a meeting or event to an earlier date or time.";"bring forward";"the congress has been brought forward by a year"
"phrasal verb";"move away from someone or something in a backward direction, especially as a result of fear or apprehension.";"back away";"the victim tried to back away but was punched by the other man"
"phrasal verb";"move or head towards a place.";"make for";"I made for the life raft and hung on for dear life"
"phrasal verb";"move or turn back; retreat.";"fall back";"the enemy fell back into a defensive position"
"phrasal verb";"offer one's help or services.";"step forward";"a company has stepped forward to sponsor the team"
"phrasal verb";"offer something to each of a number of people in turn.";"hand round";"a big box of chocolates was handed round"
"phrasal verb";"order a person or dog to stop attacking someone.";"call off";"Gunda pleaded with him to call the dog off"
"phrasal verb";"order or advise workers to strike.";"call out";""
"phrasal verb";"originate in something; have something as its source.";"come from";"the word caviar comes from Italian"
"phrasal verb";"pass a difficult or testing experience or period.";"get through";"he just did what was needed to get through"
"phrasal verb";"pass into a specified state, situation, or position.";"fall into";"many of the buildings fell into disrepair"
"phrasal verb";"pass responsibility to someone else.";"hand over";"he will soon hand over to a new director"
"phrasal verb";"pass something to the next person in a series or succession.";"hand on";"he had handed on the family farm to his son"
"phrasal verb";"pay a visit to someone.";"call on";"he's planning to call on Katherine today"
"phrasal verb";"perform a piece of music at the same time as it is playing on a recording.";"play along";"I could make harmonies by playing along with the tape"
"phrasal verb";"perform household tasks, typically cleaning, for someone.";"do for";"Florrie usually did for the Shermans in the mornings"
"phrasal verb";"persevere with a task or endeavour in a determined way.";"stick at";"I'm the type to stick at something even if it gets on top of me"
"phrasal verb";"persist with something.";"keep at";"it was the best part of a day's work but I kept at it"
"phrasal verb";"persistently seek to acquire or attain something.";"run after";"businesses which have spent years running after the baby boom market"
"phrasal verb";"persuade someone not to do something unwise.";"talk out of";"I wrote a letter resigning, but he talked me out of it"
"phrasal verb";"persuade someone to agree to something.";"bring round";"she's not keen, but I think I can bring her round"
"phrasal verb";"persuade someone to do something that they are unwilling to do.";"talk into";"don't try to talk me into acting as a go-between"
"phrasal verb";"play truant from school.";"sag off";"he sagged off from Double Maths"
"phrasal verb";"point out interesting features in a place or building to someone.";"show round";"he showed us round and took us to the museum"
"phrasal verb";"position oneself closer to the basket when guarding an opposing player.";"sag off";"when they sag off, he has all the time in the world to find a teammate cutting to the basket"
"phrasal verb";"predict or describe the likely weather conditions for a period of time in the future.";"call for";"the forecast is calling for more rain"
"phrasal verb";"pretend to cooperate.";"play along";"she had to play along and be polite"
"phrasal verb";"prevent someone from attending school.";"keep off";"how long should children be kept off school for mumps?"
"phrasal verb";"produce or give rise to something.";"bring forth";"he has no idea what the day will bring forth"
"phrasal verb";"propose a plan or idea for consideration.";"bring forward";"I realize that when I bring forward proposals they will have to be judged on their merits"
"phrasal verb";"prosecute or convict someone for a crime.";"do for";"we got done for conspiracy to cause GBH"
"phrasal verb";"provide someone with a regular supply of a commodity.";"keep in";"the money should keep him in cigarettes for a week"
"phrasal verb";"publicly ask for or demand something.";"call for";"the report calls for an audit of endangered species"
"phrasal verb";"pursue someone.";"make after";""
"phrasal verb";"put a plan or idea into effect.";"carry through";"policy blueprints are rarely carried through perfectly"
"phrasal verb";"put something to one side.";"lay aside";"he laid aside his book"
"phrasal verb";"ransack a place, especially while searching for something worth stealing.";"do over";"her flat had been done over—the evidence was all too clear"
"phrasal verb";"reach a point in a business venture when the profits are equal to the costs.";"break even";"the firm will break even at the operating level this year"
"phrasal verb";"reach or gain access to something.";"get at";"it's difficult to get at the screws"
"phrasal verb";"read laboriously through a long piece of writing.";"wade through";"they could just click it up on screen rather than have to wade through some hefty document"
"phrasal verb";"reclaim possession of something.";"take back";"after a year of occupation, they are impatient to take back control of their country"
"phrasal verb";"recover consciousness.";"come round";"I'd just come round from a drunken stupor"
"phrasal verb";"reduce something in size, number, or extent, especially by a constant proportion across the board.";"scale back";"in the short term, even scaling back defence costs money"
"phrasal verb";"register one's arrival at a hotel.";"check into";"you'll check into the luxurious Basle Hilton Hotel"
"phrasal verb";"remain at a distance.";"keep back";"he had kept back from the river when he could"
"phrasal verb";"remain behind.";"hang back";"Stephen hung back for fear of being seen"
"phrasal verb";"remain on good terms with someone.";"keep in with";"he was simply trying to keep in with his friends"
"phrasal verb";"repay a loan to someone.";"pay back";"a regular amount was deducted from my wages to pay her back"
"phrasal verb";"repeat something.";"do over";"to absorb the lesson, I had to do it over"
"phrasal verb";"reprimand someone.";"call down";"he called down Clarence Drum about being so high and mighty"
"phrasal verb";"require payment of a loan or promise of money.";"call in";"the bank would call in loans and foreign donations"
"phrasal verb";"resemble a parent or ancestor.";"take after";"the rest of us take after our mother"
"phrasal verb";"respond cheekily or disrespectfully to someone, especially when being criticized or told to do something.";"answer back";"you couldn't argue with a parent, you couldn't answer back"
"phrasal verb";"restore someone to consciousness.";"bring round";"she administered artificial respiration and brought him round"
"phrasal verb";"restrain oneself from expressing a feeling.";"keep in";"he wanted to make me mad, but I kept it all in"
"phrasal verb";"retain food or drink in one's stomach without vomiting.";"keep down";"all I could keep down was water"
"phrasal verb";"retain or withhold something.";"keep back";"he kept back £5 for himself"
"phrasal verb";"retain something and apply or deal with it in a new context.";"carry over";"much of the wartime economic planning was carried over into the peace"
"phrasal verb";"retract a statement or reverse an action or decision.";"walk back";"senior members of the administration tried to walk back her comments"
"phrasal verb";"retract a statement.";"take back";"I take back nothing of what I said"
"phrasal verb";"return unsatisfactory goods to a shop.";"take back";"I took back the shoes and asked for my money back"
"phrasal verb";"said when encouraging someone or telling them to hurry up.";"come along";"That's our man, Watson! Come along!"
"phrasal verb";"said when encouraging someone or telling them to hurry up.";"come along";"That's our man, Watson! Come along!"
"phrasal verb";"save money for future use.";"put aside";"we have a little bit put aside in the bank"
"phrasal verb";"save or keep something, typically money or time, for a particular purpose.";"set aside";"the bank expected to set aside about $700 million for restructuring"
"phrasal verb";"search or explore widely.";"cast about";"he is restlessly casting about for novelties"
